X,Y,Z
-480.49464280505435,703.1872704704876,1073.4200423216996
-463.40324208767197,506.2852731176099,1510.3434713151821
1337.2014759121703,618.0383333441785,-797.5154188386605
-486.67216815775237,585.9815466899763,1070.652
-477.17903520996333,593.4539193400371,933.5611204566567
-473.1772783502215,512.0522282264233,1317.2981273229802
-482.7277713139065,548.5160407288886,895.115463295644
-494.6777583317544,614.9347867417209,690.195931836259
-463.619359161637,569.4506504442687,907.1326295536315
-486.8824494241371,576.5748212233784,1095.0947238752976
-484.1554803865297,588.8200710599892,1240.5070035570554
-520.2246412919044,588.4598280869476,1147.9212292778811
-487.2610411120129,595.5762479040434,1177.6915446150454
-486.6594131149077,585.9811250685027,1182.132
-496.80282243554984,439.01003188980235,767.0390872837178
-540.7283902810045,696.598773943426,848.1112050248524
-486.3643069651089,494.74770962693856,800.8828959065162
-477.08342548824885,488.9482254860669,752.5672911804584
-486.66212435166835,585.9921021919878,989.5828
-486.6317671595866,585.9838757585832,748.182
-488.7023811107629,516.5985747033078,788.7279757754404
-513.9051501674537,557.8259471815411,699.5838439804772
-485.00608009042026,620.1521699049097,1016.7368139330506
-502.297633248289,704.0035663873475,1151.470048643306
-464.96552204491127,586.1355249981989,1188.761494961713
-534.3405326364523,684.2167350004927,934.5081245116595
-604.5303923297784,837.2478477764421,603.4182141371507
-528.1123681493777,640.5130370195939,818.6534087952967
-483.64406447016563,695.4844658283687,1078.3216783340254
-506.7797194707746,633.9822084134566,950.9258835523173
-501.97361418865694,701.6057931389846,1112.7591045741938
-552.256416134421,527.6776340205686,749.9153051820009
-510.4051950405735,568.5120573137496,520.8849776002163
-526.9754646777451,612.2817351946804,1301.9563876594957
-515.8509887324369,555.8141695140828,802.7034480068291
-544.6234073944465,704.5538620554377,963.2827702142063
-486.653948407549,585.9691918090916,999.8142
-488.2660548474437,607.9558669424072,748.9723954228025
-488.3214217852674,522.2779823353478,1260.6022344559478
-486.63978659540544,585.9865879701005,1190.661
-547.4445352518264,589.9557823584802,924.6688949696065
-486.7465072391524,591.0973620541872,695.648937835209
-528.8963161158053,643.591511054186,1083.4075901793449
-537.5478258369526,548.9592139955364,836.4997063312057
-486.6557068939055,585.9851955879667,634.7704
-534.7113792555815,586.5489153281673,749.4984983898852
-486.65437966227205,585.9779590233157,769.0623
-471.990287681509,471.15057107921666,613.2350282601823
-486.184013127021,596.1374640620974,1217.4309990822899
-486.6488401600998,585.9805095236281,755.2280000000001
-533.7696280060416,584.8477382179947,1250.0087499651709
-487.571476642147,485.98847096251376,973.3395270814726
-483.79299215518586,621.5496151973218,818.3756234068319
-491.17801524757556,639.2709747236763,665.8467246674419
-541.0941448187923,669.5663525181651,1139.582517453276
-486.1154692212158,589.1537559306907,888.0811235834775
-257.39890246387085,513.4140147226501,1136.4992286801353
-486.9650721183534,608.8748324012479,879.7308140624126
-497.07754444334205,387.58017194678143,1099.5439819285543
-465.6073972253714,513.7385105701964,768.5640588743483
-508.868391504323,631.3340388991714,1319.844411669658
-467.6416562909794,586.5824253473917,1001.7506426789732
-449.83602967586603,568.079335420141,929.1503535861856
-516.1795687283548,588.1575978221066,919.4491954364105
-543.376830082761,673.0689117995346,1218.7921818664736
-486.6469109592881,585.9817747955026,924.2692
-487.71302975076014,549.0276260506283,834.9643753710695
-436.45884434660525,562.3732552869847,938.7687591963995
-510.7189836091645,538.3774412588657,941.4118041242247
-541.0261314126324,588.5826375593203,708.3184233191839
-477.74513361044365,495.54550137490617,650.0103687510107
-547.3426055627269,615.1190712576758,903.0704724235511
-493.41821087122025,457.17307412709783,877.2938845949601
-495.22160871767574,603.8297437835338,1059.49121009397
-488.4167864548249,526.3251950468325,572.9324942390425
-483.5356831412878,512.594202008796,779.7201445736323
-538.8568384697851,592.8427051532241,825.4105912960617
-533.6549666690539,650.0835617659952,1290.230514020153
-492.88954877582364,520.6156015219888,922.5435799319067
-486.2952967910378,594.6791174301529,1078.005242270073
-463.1759834145473,485.1839904282684,1066.0854699048398
-485.8933652906785,616.5473879955607,968.3260572818186
-486.6458172474713,585.9896150413219,828.6568000000001
-477.829883162382,505.32755096413416,936.8868660322667
-486.6463450600663,585.6469266126905,898.1605291380134
-486.21446776852235,630.7339789094628,984.1644247476779
-484.2443757600463,630.8268666611845,956.9115178130643
-500.453293040493,585.9475204575094,1005.6168297287704
-510.1671428341567,634.0149298355136,1441.7426058496917
-485.75941210905876,621.6863507494438,828.8111500985127
-526.4487330116897,633.6877757745938,670.297003178428
-498.7001287360208,586.2129836401508,1055.165973208125
-487.7364153173005,594.6642539327704,1056.644282113794
-486.6530417889435,585.9821624446822,1008.1114200000009
-486.98463264501015,576.5518692296162,1172.8156949036477
-465.5385741046748,607.5180184725177,1099.2148318426646
-479.11076669967906,517.1016349206891,690.4575105302922
-488.25844113915855,586.2630604568617,967.5999243058491
-471.36617058704024,540.8057493031642,592.1214717910218
